Cases,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,Subject 9,Subject 10,Subject 11,Subject 12,Subject 13,Subject 14,Subject 15,Subject 16,Subject 17,Subject 18,Subject 19,Subject 20,Subject 21,Subject 22,Subject 23,Subject 24,True label
Case 1,Walking,Walking,Walking,Jogging,Walking,Walking,Walking,Walking,Walking,Stairs,Stairs,Jogging,Walking,Walking,Walking,Walking,Walking,Walking,Stairs,Jogging,Walking,Walking,Walking,Walking,Walking
Case 2,Jogging,Jogging,Stairs,Stairs,Stairs,Stairs,Stairs,Stairs,Jogging,Stairs,Stairs,Stairs,Stairs,Stairs,Stairs,Walking,Walking,Jogging,Stairs,Walking,Stairs,Walking,Stairs,Stairs,Stairs
Case 3,Stairs,Walking,Stairs,Walking,Walking,Jogging,Jogging,Stairs,Stairs,Stairs,Stairs,Jogging,Stairs,Jogging,Jogging,Walking,Stairs,Stairs,Walking,Stairs,Jogging,Walking,Stairs,Stairs,Jogging
Case 4,Stairs,Jogging,Jogging,Walking,Jogging,Jogging,Jogging,Stairs,Jogging,Jogging,Jogging,Stairs,Jogging,Jogging,Jogging,Jogging,Stairs,Jogging,Jogging,Jogging,Jogging,Jogging,Jogging,Jogging,Jogging
Case 5,Walking,Stairs,Stairs,Stairs,Stairs,Stairs,Stairs,Walking,Walking,Walking,Walking,Stairs,Jogging,Stairs,Stairs,Stairs,Jogging,Stairs,Stairs,Jogging,Stairs,Stairs,Stairs,Walking,Stairs
Case 6,Stairs,Jogging,Walking,Walking,Jogging,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Jogging,Walking,Walking
Case 7,Jogging,Jogging,Jogging,Jogging,Jogging,Jogging,Jogging,Walking,Jogging,Jogging,Walking,Jogging,Jogging,Walking,Jogging,Stairs,Jogging,Walking,Jogging,Stairs,Jogging,Walking,Walking,Stairs,Jogging
Case 8,Walking,Walking,Walking,Walking,Stairs,Walking,Walking,Stairs,Stairs,Walking,Walking,Stairs,Stairs,Stairs,Walking,Jogging,Stairs,Stairs,Walking,Stairs,Walking,Stairs,Stairs,Walking,Walking
Case 9,Stairs,Stairs,Stairs,Walking,Stairs,Stairs,Walking,Stairs,Walking,Stairs,Stairs,Stairs,Stairs,Jogging,Stairs,Walking,Stairs,Walking,Stairs,Jogging,Stairs,Stairs,Jogging,Stairs,Stairs
Case 10,Walking,Stairs,Stairs,Walking,Stairs,Walking,Stairs,Walking,Jogging,Walking,Jogging,Walking,Jogging,Walking,Stairs,Walking,Stairs,Jogging,Jogging,Walking,Stairs,Walking,Walking,Stairs,Stairs
Case 11,Jogging,Jogging,Jogging,Jogging,Jogging,Jogging,Jogging,Stairs,Stairs,Jogging,Jogging,Jogging,Jogging,Jogging,Jogging,Jogging,Stairs,Stairs,Stairs,Stairs,Jogging,Jogging,Jogging,Stairs,Jogging
Case 12,Walking,Walking,Walking,Jogging,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Stairs,Walking,Stairs,Walking,Walking,Walking,Walking,Walking,Stairs,Walking,Stairs,Walking,Walking,Walking
Case 13,Stairs,Jogging,Jogging,Walking,Walking,Jogging,Jogging,Jogging,Jogging,Stairs,Stairs,Jogging,Jogging,Stairs,Jogging,Stairs,Jogging,Jogging,Jogging,Walking,Jogging,Jogging,Stairs,Jogging,Jogging
Case 14,Jogging,Jogging,Stairs,Jogging,Stairs,Stairs,Stairs,Jogging,Stairs,Walking,Stairs,Jogging,Stairs,Walking,Stairs,Jogging,Jogging,Stairs,Walking,Walking,Stairs,Walking,Jogging,Stairs,Stairs
Case 15,Walking,Walking,Walking,Jogging,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Walking,Jogging,Walking,Walking,Walking,Walking,Walking,Jogging,Walking,Walking,Jogging,Walking,Walking
